,Datetime,Day of the Year,Description,District,Neighborhood
35287,2016-04-26 14:30:00,117,burglary,northeastern,frankford
35290,2016-04-26 14:13:00,117,agg. assault,southeastern,fells point
35291,2016-04-26 14:02:00,117,common assault,southwestern,edmondson village
35292,2016-04-26 14:00:00,117,burglary,southwestern,violetville
35297,2016-04-26 13:25:31,117,rape,southwestern,beechfield
35300,2016-04-26 13:00:00,117,larceny,central,inner harbor
35301,2016-04-26 12:30:00,117,larceny,eastern,barclay
35304,2016-04-26 11:55:00,117,agg. assault,southern,brooklyn
35305,2016-04-26 11:30:00,117,robbery - street,northeastern,belair-edison
35308,2016-04-26 11:11:00,117,robbery - commercial,southeastern,fells point
35313,2016-04-26 10:30:00,117,larceny,southeastern,fells point
35314,2016-04-26 10:00:00,117,agg. assault,northwestern,howard park
35321,2016-04-26 08:00:00,117,burglary,northeastern,frankford
35322,2016-04-26 08:00:00,117,burglary,northeastern,frankford
35325,2016-04-26 07:45:00,117,common assault,northern,guilford
35327,2016-04-26 07:45:00,117,larceny from auto,eastern,middle east
35330,2016-04-26 06:30:00,117,robbery - street,southwestern,edmondson village
35332,2016-04-26 05:40:00,117,robbery - street,northern,hampden
35339,2016-04-26 03:30:00,117,arson,northeastern,cedonia
35340,2016-04-26 03:20:00,117,arson,northeastern,cedonia
35347,2016-04-26 01:01:00,117,burglary,southern,lakeland
35353,2016-04-26 00:00:00,117,larceny from auto,northwestern,howard park
35356,2016-04-25 23:30:00,116,common assault,central,upton
35357,2016-04-25 23:30:00,116,larceny,southeastern,fells point
35365,2016-04-25 22:36:00,116,larceny,southwestern,morrell park
35368,2016-04-25 22:00:00,116,common assault,northeastern,orangeville
35369,2016-04-25 22:00:00,116,burglary,northern,hampden
35370,2016-04-25 21:50:00,116,common assault,southern,brooklyn
35371,2016-04-25 21:45:00,116,robbery - street,southeastern,fells point
35379,2016-04-25 20:45:00,116,auto theft,northeastern,frankford
35382,2016-04-25 20:30:00,116,larceny,southwestern,morrell park
35387,2016-04-25 20:00:00,116,auto theft,northeastern,frankford
35389,2016-04-25 19:30:00,116,common assault,western,sandtown-winchester
35395,2016-04-25 18:30:00,116,auto theft,southwestern,violetville
35397,2016-04-25 18:00:00,116,larceny from auto,central,reservoir hill
35407,2016-04-25 17:33:00,116,larceny,central,upton
35411,2016-04-25 17:30:00,116,larceny,central,downtown
35419,2016-04-25 17:00:00,116,larceny,eastern,orangeville
35424,2016-04-25 16:15:00,116,burglary,northeastern,frankford
35426,2016-04-25 16:00:00,116,larceny from auto,southwestern,morrell park
35427,2016-04-25 16:00:00,116,larceny,northern,medfield
35430,2016-04-25 15:00:00,116,larceny from auto,eastern,middle east
35432,2016-04-25 14:40:00,116,robbery - street,central,reservoir hill
35433,2016-04-25 14:40:00,116,burglary,southern,brooklyn
35438,2016-04-25 13:30:00,116,burglary,northeastern,frankford
35440,2016-04-25 13:18:00,116,larceny,central,downtown
35443,2016-04-25 12:44:00,116,larceny,southern,federal hill
35445,2016-04-25 12:30:00,116,larceny,central,downtown
35446,2016-04-25 12:30:00,116,larceny,central,upton
35448,2016-04-25 11:47:00,116,larceny,southern,brooklyn
35451,2016-04-25 11:00:00,116,larceny,western,sandtown-winchester
35453,2016-04-25 10:30:00,116,burglary,western,penn north
35458,2016-04-25 09:00:00,116,common assault,central,downtown
35462,2016-04-25 08:34:00,116,larceny,southeastern,highlandtown
35467,2016-04-25 08:00:00,116,larceny,southern,brooklyn
35468,2016-04-25 08:00:00,116,larceny,eastern,barclay
35469,2016-04-25 07:40:00,116,auto theft,western,penn north
35472,2016-04-25 04:35:00,116,burglary,western,poppleton
35473,2016-04-25 04:30:00,116,robbery - street,western,penn north
35474,2016-04-25 02:30:00,116,burglary,southern,brooklyn
35476,2016-04-25 02:05:00,116,larceny,southeastern,fells point
35477,2016-04-25 02:00:00,116,burglary,southern,cherry hill
35480,2016-04-25 01:01:00,116,larceny,central,downtown
35481,2016-04-25 01:00:00,116,auto theft,northeastern,belair-edison
35483,2016-04-25 00:29:00,116,burglary,southern,federal hill
35486,2016-04-25 00:00:00,116,burglary,southwestern,walbrook
35490,2016-04-24 23:30:00,115,larceny from auto,northeastern,frankford
35492,2016-04-24 23:27:00,115,common assault,southeastern,fells point
35494,2016-04-24 23:06:00,115,robbery - street,southeastern,fells point
35496,2016-04-24 22:33:00,115,homicide,central,upton
35497,2016-04-24 22:23:00,115,shooting,northeastern,belair-edison
35498,2016-04-24 22:23:00,115,shooting,northeastern,belair-edison
35499,2016-04-24 22:50:00,115,agg. assault,southern,westport
35500,2016-04-24 22:45:00,115,robbery - street,central,downtown
35504,2016-04-24 22:23:00,115,agg. assault,northeastern,belair-edison
35505,2016-04-24 22:23:00,115,agg. assault,northeastern,belair-edison
35507,2016-04-24 22:00:00,115,burglary,central,upton
35511,2016-04-24 21:30:00,115,burglary,southwestern,allendale
35513,2016-04-24 21:20:00,115,larceny from auto,northwestern,cheswolde
35515,2016-04-24 21:10:00,115,robbery - carjacking,central,reservoir hill
35516,2016-04-24 21:10:00,115,robbery - carjacking,central,reservoir hill
35524,2016-04-24 20:00:00,115,larceny,northern,hampden
35528,2016-04-24 19:00:00,115,larceny,southern,curtis bay
35532,2016-04-24 18:30:00,115,agg. assault,northwestern,forest park
35533,2016-04-24 18:00:00,115,larceny from auto,northern,barclay
35534,2016-04-24 18:00:00,115,larceny from auto,northeastern,frankford
35537,2016-04-24 18:00:00,115,larceny,eastern,oldtown
35540,2016-04-24 17:30:00,115,robbery - carjacking,southeastern,highlandtown
35542,2016-04-24 17:30:00,115,auto theft,southern,federal hill
35544,2016-04-24 16:50:00,115,larceny,northern,hampden
35549,2016-04-24 15:30:00,115,larceny from auto,southeastern,highlandtown
35550,2016-04-24 15:30:00,115,auto theft,northern,hampden
35555,2016-04-24 13:40:00,115,common assault,northeastern,cedonia
35556,2016-04-24 13:30:00,115,larceny from auto,eastern,middle east
35559,2016-04-24 13:00:00,115,larceny from auto,southeastern,highlandtown
35562,2016-04-24 12:44:00,115,robbery - commercial,northeastern,lauraville
35563,2016-04-24 12:30:00,115,common assault,eastern,oldtown
35582,2016-04-24 09:24:00,115,auto theft,northwestern,howard park
35585,2016-04-24 08:26:00,115,larceny,southern,brooklyn
35589,2016-04-24 06:00:00,115,larceny from auto,southeastern,fells point
35596,2016-04-24 04:30:00,115,common assault,southwestern,morrell park
35598,2016-04-24 04:18:00,115,agg. assault,southern,federal hill
35599,2016-04-24 04:16:00,115,larceny,central,downtown
35601,2016-04-24 03:05:00,115,larceny,northeastern,belair-edison
35605,2016-04-24 02:45:00,115,shooting,central,downtown
35606,2016-04-24 02:46:00,115,robbery - street,central,downtown
35610,2016-04-24 02:00:00,115,common assault,northern,guilford
35616,2016-04-24 01:45:00,115,common assault,southeastern,fells point
35624,2016-04-24 00:05:00,115,common assault,southern,lakeland
35625,2016-04-24 00:00:00,115,auto theft,southwestern,morrell park
35626,2016-04-23 23:02:00,114,shooting,western,harlem park
35631,2016-04-23 23:02:00,114,agg. assault,western,harlem park
35633,2016-04-23 23:00:00,114,common assault,eastern,oldtown
35634,2016-04-23 22:30:00,114,common assault,southeastern,highlandtown
35642,2016-04-23 21:15:00,114,auto theft,western,harlem park
35651,2016-04-23 19:32:00,114,larceny,central,downtown
35652,2016-04-23 19:30:00,114,common assault,southern,curtis bay
35653,2016-04-23 19:30:00,114,common assault,western,sandtown-winchester
35657,2016-04-23 19:00:00,114,larceny,western,poppleton
35658,2016-04-23 19:00:00,114,auto theft,western,sandtown-winchester
35662,2016-04-23 18:00:00,114,auto theft,southeastern,fells point
35665,2016-04-23 17:50:00,114,agg. assault,northwestern,howard park
35668,2016-04-23 17:40:00,114,agg. assault,western,poppleton
35670,2016-04-23 17:00:00,114,larceny from auto,central,reservoir hill
35673,2016-04-23 16:40:00,114,common assault,southeastern,fells point
35674,2016-04-23 16:40:00,114,common assault,southeastern,fells point
35678,2016-04-23 16:30:00,114,larceny,northwestern,howard park
35679,2016-04-23 16:25:00,114,larceny,central,inner harbor
35681,2016-04-23 15:36:00,114,robbery - street,northwestern,west arlington
35682,2016-04-23 15:30:00,114,burglary,northeastern,belair-edison
35689,2016-04-23 13:50:00,114,larceny,southeastern,canton
35693,2016-04-23 12:00:00,114,larceny from auto,southeastern,canton
35695,2016-04-23 12:00:00,114,larceny,northeastern,belair-edison
35700,2016-04-23 10:30:00,114,auto theft,northwestern,howard park
35701,2016-04-23 10:25:00,114,larceny,northwestern,howard park
35702,2016-04-23 10:07:00,114,burglary,southeastern,highlandtown
35705,2016-04-23 10:00:00,114,larceny,southern,curtis bay
35706,2016-04-23 10:00:00,114,larceny,southwestern,morrell park
35710,2016-04-23 09:30:00,114,larceny,western,penn north
35713,2016-04-23 07:30:00,114,larceny,southeastern,highlandtown
35717,2016-04-23 06:00:00,114,common assault,eastern,oldtown
35718,2016-04-23 06:00:00,114,larceny,southwestern,west hills
35721,2016-04-23 04:00:00,114,common assault,western,penn north
35724,2016-04-23 03:09:00,114,burglary,southern,cherry hill
35730,2016-04-23 01:30:00,114,robbery - carjacking,northeastern,frankford
35731,2016-04-23 01:30:00,114,common assault,central,downtown
35732,2016-04-23 01:30:00,114,common assault,central,downtown
35739,2016-04-23 01:00:00,114,larceny,southeastern,canton
35743,2016-04-23 00:02:00,114,burglary,northwestern,ashburton
35744,2016-04-23 00:01:00,114,larceny from auto,southwestern,beechfield
35749,2016-04-22 23:35:00,113,common assault,western,penn north
35758,2016-04-22 22:00:00,113,larceny,southern,brooklyn
35759,2016-04-22 22:00:00,113,auto theft,central,druid heights
35760,2016-04-22 21:45:00,113,larceny,central,downtown
35764,2016-04-22 21:20:00,113,agg. assault,central,downtown
35770,2016-04-22 20:30:00,113,larceny,southeastern,fells point
35781,2016-04-22 19:20:00,113,robbery - street,northeastern,belair-edison
35782,2016-04-22 19:00:00,113,larceny from auto,central,reservoir hill
35783,2016-04-22 19:00:00,113,larceny from auto,southeastern,little italy
35784,2016-04-22 19:00:00,113,larceny from auto,central,upton
35787,2016-04-22 18:37:00,113,burglary,eastern,orangeville
35788,2016-04-22 18:30:00,113,common assault,western,harlem park
35791,2016-04-22 18:00:00,113,burglary,northeastern,frankford
35792,2016-04-22 17:59:00,113,agg. assault,northwestern,arlington
35794,2016-04-22 17:50:00,113,robbery - commercial,northeastern,belair-edison
35797,2016-04-22 17:30:00,113,larceny,northeastern,belair-edison
35801,2016-04-22 17:00:00,113,larceny from auto,eastern,middle east
35803,2016-04-22 17:00:00,113,larceny,northwestern,ashburton
35812,2016-04-22 15:42:00,113,agg. assault,western,sandtown-winchester
35813,2016-04-22 15:42:00,113,agg. assault,western,sandtown-winchester
35818,2016-04-22 14:40:00,113,common assault,northeastern,lauraville
35819,2016-04-22 14:25:00,113,agg. assault,central,upton
35821,2016-04-22 14:00:00,113,common assault,southern,westport
35822,2016-04-22 14:00:00,113,common assault,southern,westport
35824,2016-04-22 13:40:00,113,burglary,northeastern,frankford
35825,2016-04-22 13:30:00,113,auto theft,southwestern,morrell park
35826,2016-04-22 13:30:00,113,auto theft,southern,federal hill
35829,2016-04-22 13:01:00,113,auto theft,central,downtown
35835,2016-04-22 12:25:00,113,larceny,western,sandtown-winchester
35836,2016-04-22 12:11:00,113,larceny,southern,curtis bay
35840,2016-04-22 12:00:00,113,burglary,southeastern,fells point
35844,2016-04-22 11:24:00,113,common assault,southern,cherry hill
35845,2016-04-22 11:15:00,113,larceny,central,inner harbor
35846,2016-04-22 11:00:00,113,agg. assault,northeastern,belair-edison
35851,2016-04-22 10:30:00,113,burglary,central,downtown
35853,2016-04-22 09:53:00,113,auto theft,southeastern,fells point
35854,2016-04-22 09:45:00,113,larceny,southwestern,west hills
35856,2016-04-22 09:00:00,113,common assault,southeastern,canton
35857,2016-04-22 09:00:00,113,larceny from auto,southeastern,fells point
35858,2016-04-22 09:00:00,113,larceny,southern,cherry hill
35860,2016-04-22 08:35:00,113,burglary,northwestern,forest park
35861,2016-04-22 08:25:00,113,larceny,southern,hollins market
35862,2016-04-22 08:15:00,113,larceny,central,reservoir hill
35866,2016-04-22 08:00:00,113,burglary,northern,mount washington
35867,2016-04-22 08:00:00,113,larceny,western,sandtown-winchester
35868,2016-04-22 07:59:00,113,agg. assault,northeastern,belair-edison
35870,2016-04-22 07:40:00,113,burglary,northwestern,howard park
35874,2016-04-22 07:00:00,113,burglary,northern,remington
35876,2016-04-22 06:30:00,113,burglary,southern,brooklyn
35884,2016-04-22 02:15:00,113,robbery - street,southern,hollins market
35885,2016-04-22 02:13:00,113,agg. assault,southeastern,fells point
35886,2016-04-22 02:10:00,113,auto theft,eastern,orangeville
35888,2016-04-22 01:43:00,113,larceny,northeastern,frankford
35889,2016-04-22 01:00:00,113,burglary,northern,remington
35890,2016-04-22 00:45:00,113,common assault,southwestern,morrell park
35892,2016-04-21 23:46:00,112,auto theft,northern,hampden
35896,2016-04-21 23:00:00,112,larceny from auto,northwestern,ashburton
35898,2016-04-21 22:40:00,112,agg. assault,central,downtown
35899,2016-04-21 22:24:00,112,agg. assault,central,poppleton
35901,2016-04-21 22:00:00,112,burglary,southern,brooklyn
35902,2016-04-21 22:00:00,112,burglary,northeastern,belair-edison
35905,2016-04-21 21:26:00,112,shooting,northeastern,frankford
35906,2016-04-21 21:26:00,112,shooting,northeastern,frankford
35907,2016-04-21 21:26:00,112,shooting,northeastern,frankford
35908,2016-04-21 21:26:00,112,shooting,northeastern,frankford
35911,2016-04-21 21:40:00,112,common assault,central,downtown
35914,2016-04-21 21:37:00,112,burglary,southern,cherry hill
35915,2016-04-21 21:35:00,112,larceny,northeastern,belair-edison
35916,2016-04-21 21:33:00,112,common assault,southern,cherry hill
35917,2016-04-21 21:26:00,112,agg. assault,northeastern,frankford
35918,2016-04-21 21:26:00,112,agg. assault,northeastern,frankford
35919,2016-04-21 21:26:00,112,agg. assault,northeastern,frankford
35920,2016-04-21 21:26:00,112,agg. assault,northeastern,frankford
35921,2016-04-21 21:10:00,112,larceny,southeastern,canton
35924,2016-04-21 20:30:00,112,larceny,northwestern,woodberry
35935,2016-04-21 18:40:00,112,common assault,southwestern,franklintown
35936,2016-04-21 18:35:00,112,auto theft,northeastern,frankford
35937,2016-04-21 18:18:00,112,larceny,southeastern,highlandtown
35938,2016-04-21 18:08:00,112,robbery - residence,northeastern,frankford
35943,2016-04-21 17:45:00,112,larceny from auto,southeastern,canton
35945,2016-04-21 17:30:00,112,common assault,central,upton
35949,2016-04-21 17:00:00,112,robbery - street,central,downtown
35953,2016-04-21 16:45:00,112,larceny,northern,barclay
35955,2016-04-21 16:30:00,112,larceny from auto,eastern,barclay
35960,2016-04-21 15:08:00,112,larceny,northeastern,frankford
35963,2016-04-21 15:00:00,112,larceny from auto,northern,hampden
35965,2016-04-21 14:26:00,112,common assault,northern,woodberry
35966,2016-04-21 14:25:00,112,auto theft,southern,brooklyn
35968,2016-04-21 14:00:00,112,burglary,western,sandtown-winchester
35969,2016-04-21 14:00:00,112,burglary,western,sandtown-winchester
35970,2016-04-21 14:00:00,112,burglary,western,sandtown-winchester
35975,2016-04-21 13:40:00,112,larceny from auto,central,downtown
35976,2016-04-21 13:08:00,112,larceny,southeastern,canton
35983,2016-04-21 11:27:00,112,burglary,northern,homeland
35986,2016-04-21 10:30:00,112,burglary,southwestern,allendale
35989,2016-04-21 09:45:00,112,larceny,central,seton hill
35994,2016-04-21 08:50:00,112,burglary,central,seton hill
36001,2016-04-21 08:00:00,112,larceny,northern,remington
36002,2016-04-21 08:00:00,112,auto theft,northern,hampden
36004,2016-04-21 07:45:00,112,common assault,northeastern,frankford
36005,2016-04-21 07:20:00,112,robbery - carjacking,southwestern,west hills
36008,2016-04-21 06:15:00,112,larceny,central,upton
36009,2016-04-21 06:00:00,112,burglary,western,penn north
36010,2016-04-21 06:00:00,112,larceny from auto,northern,hampden
36013,2016-04-21 05:30:00,112,auto theft,southwestern,morrell park
36016,2016-04-21 04:20:00,112,burglary,southern,brooklyn
36017,2016-04-21 04:15:00,112,robbery - street,southern,brooklyn
36018,2016-04-21 04:07:00,112,arson,northeastern,belair-edison
36019,2016-04-21 03:09:09,112,rape,central,downtown
36020,2016-04-21 01:43:00,112,agg. assault,central,downtown
36024,2016-04-21 01:01:00,112,arson,southeastern,fells point
36026,2016-04-21 00:45:00,112,auto theft,southern,curtis bay
