,Datetime,Day of the Year,Description,District,Neighborhood
20440,2016-08-12 22:00:00,225,larceny from auto,southern,lakeland
20442,2016-08-12 22:00:00,225,auto theft,northern,hampden
20444,2016-08-12 21:12:00,225,auto theft,central,downtown
20449,2016-08-12 21:00:00,225,auto theft,southwestern,edmondson village
20458,2016-08-12 19:40:00,225,common assault,northeastern,frankford
20459,2016-08-12 19:30:00,225,robbery - carjacking,southern,curtis bay
20463,2016-08-12 19:00:00,225,auto theft,western,sandtown-winchester
20465,2016-08-12 18:32:00,225,larceny,central,reservoir hill
20466,2016-08-12 18:30:00,225,larceny from auto,northwestern,howard park
20468,2016-08-12 18:00:00,225,common assault,southern,cherry hill
20469,2016-08-12 18:00:00,225,common assault,southwestern,allendale
20470,2016-08-12 18:00:00,225,common assault,southern,cherry hill
20471,2016-08-12 18:00:00,225,common assault,southwestern,allendale
20472,2016-08-12 18:00:00,225,common assault,southern,cherry hill
20476,2016-08-12 18:00:00,225,larceny,northern,hampden
20478,2016-08-12 17:38:00,225,larceny,central,downtown
20485,2016-08-12 16:30:00,225,agg. assault,western,sandtown-winchester
20488,2016-08-12 16:00:00,225,larceny,northwestern,forest park
20491,2016-08-12 15:00:00,225,robbery - street,central,downtown
20494,2016-08-12 14:00:00,225,burglary,western,sandtown-winchester
20498,2016-08-12 13:15:00,225,larceny,central,downtown
20500,2016-08-12 12:52:00,225,common assault,northwestern,ashburton
